,author,difficulty,category,users_solved,event_points,author_encoded
0,venax,1,Web Exploitation,5884,100,0.01932367149758454
1,darkraicg492,1,Binary Exploitation,3196,75,0.004830917874396135
2,prince niyonshuti n.,1,Web Exploitation,4340,100,0.007246376811594203
3,prince niyonshuti n.,1,Web Exploitation,5631,50,0.007246376811594203
4,nana ama atombo-sackey,1,Cryptography,7210,100,0.00966183574879227
5,syreal,1,Reverse Engineering,3695,75,0.1859903381642512
6,syreal,1,General Skills,9959,10,0.1859903381642512
7,michael crotty,1,Cryptography,3930,200,0.004830917874396135
9,taylor mccampbell,1,General Skills,3334,100,0.007246376811594203
10,taylor mccampbell,1,General Skills,3429,100,0.007246376811594203
11,taylor mccampbell,1,General Skills,3746,100,0.007246376811594203
12,shuailin pan (leconjuror),1,Forensics,4390,100,0.004830917874396135
13,prince niyonshuti n.,1,Forensics,3721,50,0.007246376811594203
14,jeffery john,1,Forensics,46426,50,0.024154589371980676
15,jeffery john,1,Forensics,51644,50,0.024154589371980676
16,jeffery john,1,General Skills,44162,100,0.024154589371980676
17,"abrxs, pr1or1tyq",1,Binary Exploitation,27525,50,0.007246376811594203
19,nana ama atombo-sackey,1,Web Exploitation,60418,50,0.00966183574879227
20,jeffery john,1,Web Exploitation,50689,100,0.024154589371980676
21,jeffery john,1,General Skills,38380,50,0.024154589371980676
22,jeffery john,1,General Skills,53567,25,0.024154589371980676
23,syreal,1,Forensics,28651,100,0.1859903381642512
25,ngirimana schadrack,1,Cryptography,35721,50,0.012077294685990338
26,nana ama atombo-sackey,1,General Skills,18014,200,0.00966183574879227
27,jeffery john,1,General Skills,24505,50,0.024154589371980676
28,jeffery john,1,General Skills,17975,75,0.024154589371980676
29,mubarak mikail,1,Forensics,27255,100,0.04106280193236715
30,jeffery john,1,Web Exploitation,41882,50,0.024154589371980676
31,jeffery john,1,General Skills,20866,75,0.024154589371980676
32,nana ama atombo-sackey,1,General Skills,18300,100,0.00966183574879227
33,theoneste byagutangaza,1,General Skills,32472,100,0.00966183574879227
34,syreal,1,General Skills,46127,100,0.1859903381642512
35,syreal,1,General Skills,52164,100,0.1859903381642512
36,syreal,1,Web Exploitation,60688,100,0.1859903381642512
37,syreal,1,Web Exploitation,79774,100,0.1859903381642512
38,syreal,1,Web Exploitation,61425,100,0.1859903381642512
40,syreal,1,General Skills,55073,35,0.1859903381642512
41,syreal,1,General Skills,57834,25,0.1859903381642512
42,syreal,1,General Skills,49003,40,0.1859903381642512
43,syreal,1,General Skills,51986,30,0.1859903381642512
44,syreal,1,General Skills,56358,25,0.1859903381642512
45,syreal,1,General Skills,58281,25,0.1859903381642512
46,syreal,1,General Skills,61562,15,0.1859903381642512
47,syreal,1,General Skills,56797,20,0.1859903381642512
48,syreal,1,General Skills,83798,30,0.1859903381642512
50,syreal,1,General Skills,96317,20,0.1859903381642512
51,madstacks,1,Web Exploitation,82514,40,0.07246376811594203
52,syreal,1,General Skills,176901,10,0.1859903381642512
53,syreal,1,General Skills,151465,10,0.1859903381642512
54,syreal,1,General Skills,87488,20,0.1859903381642512
55,madstacks,1,Web Exploitation,68967,50,0.07246376811594203
56,syreal,1,General Skills,143001,15,0.1859903381642512
57,syreal,1,General Skills,297888,5,0.1859903381642512
59,madstacks,1,Web Exploitation,100034,20,0.07246376811594203
60,madstacks,1,Reverse Engineering,63814,20,0.07246376811594203
61,sanjay c/danny tunitis,1,General Skills,122753,50,0.012077294685990338
62,alex fulton/danny tunitis,1,General Skills,89921,100,0.004830917874396135
63,danny,1,Cryptography,91738,50,0.03140096618357488
65,alex fulton/danny,1,Web Exploitation,74873,100,0.004830917874396135
66,alex fulton/daniel tunitis,1,Cryptography,79982,100,0.007246376811594203
67,sanjay c/danny tunitis,1,General Skills,123346,50,0.012077294685990338
70,sanjay c/danny tunitis,1,General Skills,84698,100,0.012077294685990338
71,sanjay c/danny tunitis,1,General Skills,111976,100,0.012077294685990338
72,sanjay c/danny tunitis,1,General Skills,136903,50,0.012077294685990338
73,zaratec/danny,1,Web Exploitation,135367,50,0.004830917874396135
74,mark e. haase,1,Reverse Engineering,70064,50,0.01932367149758454
75,zaratec/danny,1,Web Exploitation,97284,100,0.004830917874396135
76,notdeghost,2,Web Exploitation,1795,300,0.01932367149758454
77,darkraicg492,2,Binary Exploitation,1004,200,0.004830917874396135
78,junias bonou,2,Binary Exploitation,1455,200,0.021739130434782608
79,venax,2,Web Exploitation,1782,200,0.01932367149758454
80,junias bonou,2,Binary Exploitation,2006,100,0.021739130434782608
81,shuailin pan (leconjuror),2,Binary Exploitation,497,300,0.004830917874396135
82,theoneste byagutangaza,2,Web Exploitation,2262,200,0.00966183574879227
85,venax,2,Web Exploitation,1530,200,0.01932367149758454
86,michael crotty,2,Reverse Engineering,1318,200,0.004830917874396135
87,aditin,2,Cryptography,430,300,0.004830917874396135
88,aditin,2,Cryptography,2127,200,0.004830917874396135
89,theoneste byagutangaza,2,Reverse Engineering,747,200,0.00966183574879227
90,junias bonou,2,Web Exploitation,1210,300,0.021739130434782608
91,ngirimana schadrack,2,Reverse Engineering,1614,200,0.012077294685990338
92,skrublawd,2,Reverse Engineering,761,400,0.00966183574879227
93,venax,2,Forensics,2023,200,0.01932367149758454
94,venax,2,Forensics,597,300,0.01932367149758454
95,venax,2,Forensics,1322,200,0.01932367149758454
96,venax,2,Reverse Engineering,580,300,0.01932367149758454
97,venax,2,Reverse Engineering,778,200,0.01932367149758454
98,skrublawd,2,Binary Exploitation,1214,300,0.00966183574879227
99,skrublawd,2,Binary Exploitation,2016,200,0.00966183574879227
100,junias bonou,2,Web Exploitation,10097,300,0.021739130434782608
101,ngirimana schadrack,2,Web Exploitation,5454,200,0.012077294685990338
103,"abrxs, pr1or1tyq",2,Binary Exploitation,8905,100,0.007246376811594203
105,syreal,2,General Skills,4102,400,0.1859903381642512
106,"abrxs, pr1or1tyq",2,Binary Exploitation,3312,200,0.007246376811594203
107,syreal,2,Binary Exploitation,4491,100,0.1859903381642512
108,syreal,2,Forensics,3172,300,0.1859903381642512
109,nandan desai,2,Reverse Engineering,676,400,0.012077294685990338
110,nandan desai,2,Reverse Engineering,1451,300,0.012077294685990338
111,nandan desai,2,Reverse Engineering,1981,200,0.012077294685990338
112,junias bonou,2,Reverse Engineering,2209,300,0.021739130434782608
113,geoffrey njogu,2,Cryptography,2106,300,0.01932367149758454
114,mubarak mikail,2,Reverse Engineering,6549,100,0.04106280193236715
115,ngirimana schadrack,2,Forensics,6727,200,0.012077294685990338
116,junias bonou,2,Reverse Engineering,2402,200,0.021739130434782608
117,junias bonou,2,Forensics,3942,300,0.021739130434782608
118,syreal,2,Forensics,2741,400,0.1859903381642512
119,ngirimana schadrack,2,Cryptography,5710,100,0.012077294685990338
120,nandan desai,2,Reverse Engineering,1981,300,0.012077294685990338
122,syreal,2,Binary Exploitation,3912,100,0.1859903381642512
123,syreal,2,Reverse Engineering,4688,100,0.1859903381642512
124,syreal,2,Reverse Engineering,6258,100,0.1859903381642512
125,syreal,2,Reverse Engineering,9240,100,0.1859903381642512
127,syreal,2,Reverse Engineering,4589,100,0.1859903381642512
128,syreal,2,Reverse Engineering,4496,100,0.1859903381642512
129,syreal,2,Reverse Engineering,5855,100,0.1859903381642512
130,syreal,2,Reverse Engineering,6995,100,0.1859903381642512
131,syreal,2,Reverse Engineering,5677,100,0.1859903381642512
132,syreal,2,Reverse Engineering,6117,100,0.1859903381642512
133,syreal,2,Reverse Engineering,6895,100,0.1859903381642512
134,syreal,2,Reverse Engineering,8089,100,0.1859903381642512
135,syreal,2,General Skills,24746,100,0.1859903381642512
137,junias bonou,2,Binary Exploitation,2830,200,0.021739130434782608
138,syreal,2,Reverse Engineering,2107,100,0.1859903381642512
139,loic shema,2,General Skills,16801,100,0.007246376811594203
140,mubarak mikail,2,Binary Exploitation,8092,100,0.04106280193236715
141,loic shema,2,Reverse Engineering,7634,100,0.007246376811594203
143,syreal,2,General Skills,9919,300,0.1859903381642512
144,geoffrey njogu,2,Web Exploitation,14250,100,0.01932367149758454
145,mubarak mikail,2,Reverse Engineering,12639,100,0.04106280193236715
146,loic shema,2,Cryptography,21497,100,0.007246376811594203
147,mubarak mikail,2,Reverse Engineering,14336,100,0.04106280193236715
148,syreal,2,Reverse Engineering,1787,400,0.1859903381642512
149,syreal,2,Reverse Engineering,3018,200,0.1859903381642512
150,syreal,2,Reverse Engineering,6891,100,0.1859903381642512
151,sunday jacob nwanyim,2,Cryptography,17642,100,0.007246376811594203
152,geoffrey njogu,2,General Skills,16798,100,0.01932367149758454
153,mubarak mikail,2,Forensics,16437,100,0.04106280193236715
154,syreal,2,Forensics,5486,200,0.1859903381642512
155,mubarak mikail,2,Web Exploitation,14000,200,0.04106280193236715
156,sunday jacob nwanyim,2,Web Exploitation,19396,100,0.007246376811594203
157,nandan desai,2,Web Exploitation,4958,300,0.012077294685990338
158,theoneste byagutangaza,2,Binary Exploitation,2538,200,0.00966183574879227
159,sunday jacob nwanyim,2,Cryptography,11586,100,0.007246376811594203
160,geoffrey njogu,2,Forensics,13889,100,0.01932367149758454
161,geoffrey njogu,2,Web Exploitation,21587,100,0.01932367149758454
162,mubarak mikail,2,Forensics,7084,200,0.04106280193236715
163,mubarak mikail,2,General Skills,16538,100,0.04106280193236715
164,palash oswal,2,Binary Exploitation,4119,100,0.00966183574879227
165,sanjay c / lt 'syreal' jones,2,Binary Exploitation,3419,200,0.004830917874396135
166,mubarak mikail,2,Cryptography,27717,100,0.04106280193236715
167,syreal,2,Reverse Engineering,14778,100,0.1859903381642512
168,syreal,2,Reverse Engineering,5445,300,0.1859903381642512
169,will hong,2,Cryptography,12560,100,0.028985507246376812
170,mubarak mikail,2,Forensics,4010,400,0.04106280193236715
171,will hong,2,Cryptography,15351,100,0.028985507246376812
172,will hong,2,Cryptography,15104,100,0.028985507246376812
173,will hong,2,Cryptography,22201,100,0.028985507246376812
175,mubarak mikail,2,Web Exploitation,23989,300,0.04106280193236715
177,syreal,2,Forensics,20412,100,0.1859903381642512
178,syreal,2,Forensics,13851,200,0.1859903381642512
179,geoffrey njogu,2,Web Exploitation,23610,200,0.01932367149758454
180,mubarak mikail,2,Web Exploitation,33047,100,0.04106280193236715
181,mubarak mikail,2,Reverse Engineering,18722,100,0.04106280193236715
182,will hong,2,Binary Exploitation,8394,200,0.028985507246376812
183,mubarak mikail,2,Web Exploitation,21990,200,0.04106280193236715
184,mubarak mikail,2,Forensics,19551,100,0.04106280193236715
185,will hong,2,Cryptography,16266,100,0.028985507246376812
186,syreal,2,Web Exploitation,29592,200,0.1859903381642512
187,syreal,2,Reverse Engineering,17877,100,0.1859903381642512
188,syreal,2,Forensics,24046,100,0.1859903381642512
189,syreal,2,Forensics,7362,400,0.1859903381642512
190,syreal,2,Forensics,4275,300,0.1859903381642512
191,will hong,2,Cryptography,18057,100,0.028985507246376812
193,syreal,2,Reverse Engineering,15054,100,0.1859903381642512
194,syreal,2,Reverse Engineering,9661,200,0.1859903381642512
195,syreal,2,Web Exploitation,26361,200,0.1859903381642512
196,neel bhavsar,2,Binary Exploitation,3504,300,0.007246376811594203
197,geoffrey njogu,2,Forensics,9995,100,0.01932367149758454
198,will hong,2,Reverse Engineering,21074,100,0.028985507246376812
199,will hong,2,Reverse Engineering,24486,100,0.028985507246376812
200,syreal,2,Forensics,30468,100,0.1859903381642512
201,syreal,2,Forensics,6646,300,0.1859903381642512
202,mubarak mikail,2,Binary Exploitation,19418,100,0.04106280193236715
204,sanjay c / palash oswal,2,Binary Exploitation,4636,300,0.007246376811594203
205,sanjay c / palash oswal,2,Binary Exploitation,8863,200,0.007246376811594203
207,syreal,2,Reverse Engineering,11007,200,0.1859903381642512
208,syreal,2,Reverse Engineering,7207,300,0.1859903381642512
209,will hong,2,Cryptography,15129,100,0.028985507246376812
210,will hong,2,Cryptography,22087,100,0.028985507246376812
211,will hong,2,Binary Exploitation,20002,100,0.028985507246376812
212,syreal,2,General Skills,37334,50,0.1859903381642512
213,syreal,2,General Skills,30702,100,0.1859903381642512
214,syreal,2,General Skills,35198,85,0.1859903381642512
215,syreal,2,General Skills,41835,75,0.1859903381642512
217,geoffrey njogu,2,Web Exploitation,5311,300,0.01932367149758454
218,notdeghost,2,Binary Exploitation,4177,150,0.01932367149758454
219,brownieinmotion,2,Cryptography,5917,100,0.007246376811594203
221,brownieinmotion,2,Web Exploitation,18225,150,0.007246376811594203
222,brownieinmotion,2,Web Exploitation,47022,100,0.007246376811594203
223,sara,2,Cryptography,7121,70,0.01932367149758454
224,madstacks,2,Web Exploitation,7415,130,0.07246376811594203
225,madstacks,2,Web Exploitation,6912,150,0.07246376811594203
226,syreal,2,Reverse Engineering,41375,30,0.1859903381642512
227,madstacks,2,Web Exploitation,7537,170,0.07246376811594203
228,sara,2,Cryptography,44602,20,0.01932367149758454
229,dylan mcguire,2,Reverse Engineering,9746,40,0.00966183574879227
230,sara,2,Cryptography,8609,80,0.01932367149758454
231,madstacks,2,Cryptography,10337,60,0.07246376811594203
232,sara,2,Cryptography,4390,90,0.01932367149758454
233,sears schulz,2,Web Exploitation,32777,70,0.00966183574879227
234,madstacks,2,Web Exploitation,23936,60,0.07246376811594203
236,syreal,2,Forensics,12256,130,0.1859903381642512
237,thelshell,2,Reverse Engineering,16341,50,0.007246376811594203
238,sears schulz,2,Web Exploitation,7686,110,0.00966183574879227
239,madstacks,2,Forensics,18914,60,0.07246376811594203
241,madstacks,2,Web Exploitation,5039,300,0.07246376811594203
242,madstacks,2,Cryptography,11179,40,0.07246376811594203
243,madstacks,2,Web Exploitation,9216,90,0.07246376811594203
244,syreal,2,Reverse Engineering,31336,30,0.1859903381642512
245,ryan ramseyer,2,Reverse Engineering,17444,50,0.004830917874396135
246,dylan,2,Forensics,34760,50,0.004830917874396135
247,syreal,2,Forensics,9634,110,0.1859903381642512
248,danny,2,Forensics,20653,40,0.03140096618357488
250,dylan,2,Forensics,10848,100,0.004830917874396135
251,madstacks,2,Web Exploitation,22245,100,0.07246376811594203
252,madstacks,2,Binary Exploitation,31805,20,0.07246376811594203
253,danny,2,Forensics,13195,90,0.03140096618357488
254,sara,2,Cryptography,8315,200,0.01932367149758454
255,madstacks,2,Web Exploitation,13001,1,0.07246376811594203
256,syreal,2,Forensics,5293,1,0.1859903381642512
257,danny,2,Forensics,5085,300,0.03140096618357488
258,alex bushkin,2,General Skills,18426,350,0.004830917874396135
259,danny,2,Forensics,7030,250,0.03140096618357488
261,mark e. haase,2,Reverse Engineering,6627,300,0.01932367149758454
263,mark e. haase,2,Reverse Engineering,8769,250,0.01932367149758454
264,danny,2,Web Exploitation,20948,200,0.03140096618357488
266,mark e. haase,2,Reverse Engineering,10351,200,0.01932367149758454
267,xingyang pan,2,Web Exploitation,15229,350,0.004830917874396135
268,danny,2,Forensics,5147,250,0.03140096618357488
270,john hammond,2,Forensics,5871,250,0.007246376811594203
271,danny,2,General Skills,29646,300,0.03140096618357488
272,alex fulton/danny tunitis,2,General Skills,43461,200,0.004830917874396135
273,mark e. haase,2,Reverse Engineering,5128,350,0.01932367149758454
274,alex fulton/danny,2,Cryptography,40790,100,0.004830917874396135
275,danny,2,Cryptography,14219,200,0.03140096618357488
277,alex fulton/daniel tunitis,2,General Skills,37193,200,0.007246376811594203
278,danny,2,Cryptography,22210,200,0.03140096618357488
279,danny,2,Forensics,20292,150,0.03140096618357488
280,joon,2,Forensics,5540,250,0.004830917874396135
281,john hammond,2,Web Exploitation,6033,400,0.007246376811594203
282,danny,2,Cryptography,19207,200,0.03140096618357488
283,sanjay c,2,Reverse Engineering,6247,200,0.00966183574879227
285,danny,2,General Skills,30275,300,0.03140096618357488
286,mark e. haase,2,Reverse Engineering,31245,100,0.01932367149758454
288,xingyang pan,2,Web Exploitation,12063,400,0.004830917874396135
290,alex fulton/daniel tunitis,2,Cryptography,13937,200,0.007246376811594203
292,asinghani,3,Cryptography,58,500,0.016908212560386472
293,asinghani,3,Cryptography,217,400,0.016908212560386472
294,skrublawd,3,Binary Exploitation,353,400,0.00966183574879227
295,notdeghost,3,Web Exploitation,21,500,0.01932367149758454
296,ehhthing,3,Web Exploitation,694,500,0.00966183574879227
297,palash oswal,3,Binary Exploitation,353,400,0.00966183574879227
299,ehhthing,3,Cryptography,181,500,0.00966183574879227
300,syreal,3,Reverse Engineering,399,300,0.1859903381642512
301,syreal,3,Forensics,395,500,0.1859903381642512
302,junias bonou,3,Binary Exploitation,1388,200,0.021739130434782608
304,asinghani,3,Cryptography,657,200,0.016908212560386472
305,asinghani,3,Cryptography,301,500,0.016908212560386472
306,asinghani,3,Cryptography,289,400,0.016908212560386472
308,ehhthing,3,Web Exploitation,509,500,0.00966183574879227
309,syreal,3,Forensics,843,300,0.1859903381642512
310,madstacks,3,Binary Exploitation,147,300,0.07246376811594203
311,palash oswal,3,Binary Exploitation,812,200,0.00966183574879227
312,notdeghost,3,Web Exploitation,29,500,0.01932367149758454
313,syreal,3,Reverse Engineering,1300,500,0.1859903381642512
314,neel bhavsar,3,Binary Exploitation,1102,300,0.007246376811594203
315,joshua inscoe,3,Cryptography,1459,300,0.007246376811594203
316,joshua inscoe,3,Cryptography,2129,400,0.007246376811594203
317,palash oswal,3,Binary Exploitation,865,400,0.00966183574879227
318,notdeghost,3,Binary Exploitation,17,500,0.01932367149758454
319,asinghani,3,Forensics,2641,400,0.016908212560386472
320,asinghani,3,Cryptography,1251,400,0.016908212560386472
321,sanjay c / lt 'syreal' jones,3,Binary Exploitation,1880,300,0.004830917874396135
322,joshua inscoe,3,Cryptography,651,500,0.007246376811594203
323,ehhthing,3,Web Exploitation,1706,500,0.00966183574879227
324,zwad3,3,Web Exploitation,242,500,0.004830917874396135
325,syreal,3,Reverse Engineering,2161,400,0.1859903381642512
326,neel bhavsar,3,Binary Exploitation,1463,400,0.007246376811594203
327,sanjay c / palash oswal,3,Binary Exploitation,1880,300,0.007246376811594203
328,asphyxia,3,Reverse Engineering,1612,150,0.00966183574879227
329,asphyxia,3,Reverse Engineering,178,500,0.00966183574879227
330,asphyxia,3,Reverse Engineering,723,200,0.00966183574879227
331,asphyxia,3,Reverse Engineering,193,350,0.00966183574879227
332,notdeghost,3,Binary Exploitation,121,500,0.01932367149758454
334,notdeghost,3,Binary Exploitation,538,250,0.01932367149758454
335,kfb,3,Binary Exploitation,241,450,0.004830917874396135
336,notdeghost,3,Binary Exploitation,300,350,0.01932367149758454
337,boolean,3,Cryptography,1524,250,0.007246376811594203
338,tux,3,Cryptography,41,500,0.004830917874396135
339,boolean,3,Cryptography,1962,150,0.007246376811594203
340,boolean,3,Cryptography,1623,150,0.007246376811594203
341,tux,3,Cryptography,233,350,0.004830917874396135
342,kfb,3,Forensics,1087,200,0.004830917874396135
344,zwad3,3,Web Exploitation,1960,500,0.004830917874396135
345,thelshell,3,Binary Exploitation,2159,100,0.007246376811594203
346,madstacks,3,Binary Exploitation,844,160,0.07246376811594203
347,dylan mcguire,3,Reverse Engineering,1305,170,0.00966183574879227
348,sears schulz,3,Web Exploitation,638,200,0.00966183574879227
349,madstacks,3,Binary Exploitation,1121,500,0.07246376811594203
350,madstacks,3,Binary Exploitation,2148,90,0.07246376811594203
351,wparks,3,Binary Exploitation,118,600,0.007246376811594203
352,madstacks,3,Binary Exploitation,170,400,0.07246376811594203
353,thelshell,3,Reverse Engineering,1778,110,0.007246376811594203
354,wparks,3,Binary Exploitation,390,375,0.007246376811594203
355,syreal,3,Reverse Engineering,2849,100,0.1859903381642512
356,madstacks,3,Binary Exploitation,341,180,0.07246376811594203
357,sears schulz,3,Web Exploitation,1772,160,0.00966183574879227
359,dylan mcguire,3,Reverse Engineering,3116,90,0.00966183574879227
361,madstacks,3,Cryptography,1129,300,0.07246376811594203
362,madstacks,3,Binary Exploitation,2320,70,0.07246376811594203
363,sara,3,Forensics,1874,300,0.01932367149758454
364,madstacks,3,Cryptography,1576,120,0.07246376811594203
365,madstacks,3,Cryptography,74,500,0.07246376811594203
366,wparks,3,Binary Exploitation,145,450,0.007246376811594203
370,sara,3,Reverse Engineering,759,180,0.01932367149758454
372,madstacks,3,Cryptography,2789,110,0.07246376811594203
373,sara,3,Cryptography,942,140,0.01932367149758454
374,dylan mcguire,3,Reverse Engineering,1742,130,0.00966183574879227
375,ryan ramseyer,3,Reverse Engineering,1287,150,0.004830917874396135
376,madstacks,3,Reverse Engineering,823,1,0.07246376811594203
377,madstacks,3,Binary Exploitation,1218,1,0.07246376811594203
378,madstacks,3,Binary Exploitation,461,1,0.07246376811594203
379,santiago c/danny t,3,Forensics,544,400,0.007246376811594203
380,danny tunitis,3,Reverse Engineering,1946,300,0.007246376811594203
381,invisibility,3,Cryptography,1270,450,0.004830917874396135
385,sanjay c,3,Reverse Engineering,1622,300,0.00966183574879227
386,danny tunitis,3,Forensics,1727,300,0.007246376811594203
387,mark e. haase,3,Reverse Engineering,3801,400,0.01932367149758454
388,jason,3,Reverse Engineering,1881,400,0.016908212560386472
390,alex bushkin,3,Reverse Engineering,1013,400,0.004830917874396135
391,santiago c,3,Forensics,2689,500,0.007246376811594203
392,samuel,3,Binary Exploitation,72,500,0.004830917874396135
393,santiago c/danny t,3,Forensics,438,400,0.007246376811594203
394,john hammond,3,Binary Exploitation,655,350,0.007246376811594203
395,santiago c,3,Forensics,178,450,0.007246376811594203
396,jason,3,Forensics,3988,450,0.016908212560386472
398,santiago c,3,Forensics,158,500,0.007246376811594203
399,john johnson,3,Web Exploitation,890,450,0.004830917874396135
400,jason,3,Forensics,4590,350,0.016908212560386472
401,john johnson,3,Web Exploitation,1390,400,0.004830917874396135
402,joon,3,Forensics,2730,300,0.004830917874396135
403,danny tunitis,3,Forensics,994,350,0.007246376811594203
404,samuel,3,Reverse Engineering,2808,500,0.004830917874396135
405,jason,3,Reverse Engineering,1907,450,0.016908212560386472
406,jason,3,Reverse Engineering,2242,500,0.016908212560386472
407,sanjay c,3,Reverse Engineering,3113,250,0.00966183574879227
408,jason,3,Reverse Engineering,2054,350,0.016908212560386472
409,santiago c/danny t,3,Forensics,670,350,0.007246376811594203
410,jason,3,Reverse Engineering,2472,300,0.016908212560386472
411,mark e. haase,3,Reverse Engineering,2785,450,0.01932367149758454
412,sanjay c,3,Reverse Engineering,815,400,0.00966183574879227
413,invisibility,3,Cryptography,2876,400,0.004830917874396135
